groupId,artifactId
org.jboss.forge.addon,dependencies
org.apache.skywalking,configuration-k8s-configmap
org.apache.karaf.specs,org.apache.karaf.specs.activator
net.sf.biweekly,biweekly
org.apache.camel.quarkus,camel-quarkus-stitch
com.github.inamik.text.tables,inamik-text-tables
org.apache.archiva.redback,redback-authorization-api
org.jigsaw.payment,jigsaw-runtime-metrics
org.dkpro.core,dkpro-core-mecab-asl
com.intuit.karate,karate-demo
ru.ydn.wicket.wicket-console,wicket-console
org.apache.camel.quarkus,camel-quarkus-tarfile-deployment
org.owasp.test.aggregate.issue-2494,sibling2
org.apache.camel.quarkus,camel-quarkus-protobuf
fr.pilato.elasticsearch.crawler,fscrawler-crawler-fs
org.python,jython-slim
org.spf4j,spf4j-core
io.quarkus,quarkus-hibernate-reactive-panache-deployment
it.unife.endif.ml,edge
com.twelvemonkeys.imageio,imageio-pict
org.zeromq,curve25519-java
com.graphql-java-kickstart,graphiql-spring-boot-starter
org.mengyun,tcc-transaction-core
org.apache.directory.server,apacheds-jdbm
org.apache.skywalking,e2e-protocol
org.rhq,rhq-remoting-client-api
org.gridgain,gridgain-rest-http
org.beanshell,bsh
org.openrdf.sesame,sesame-sail-nativerdf
com.momo,momo-permission-gateway
io.helidon.security.integration,helidon-security-integration-grpc
com.oracle.oci.sdk,oci-java-sdk-apmtraces
com.qubole.rubix,rubix-prestosql
io.quarkus,quarkus-mongodb-rest-data-panache-deployment
io.helidon.integrations.graal,helidon-mp-graal-native-image-extension
org.glassfish.docs,application-development-guide
org.wildfly,wildfly-clustering-jgroups-spi
org.apache.dolphinscheduler,dolphinscheduler-ui
org.netpreserve.openwayback,openwayback-access-control-core
org.eclipse.jetty,infinispan-remote-query
io.smallrye.common,smallrye-common-constraint
io.seata,sca-common
de.tudarmstadt.ukp.dkpro.core,de.tudarmstadt.ukp.dkpro.core.ixa-model-tagger-nl-maxent-100-c5-autodict01-alpino
org.apache.usergrid.chop,chop-amazon
sia,tacocloud-api
org.apache.camel.quarkus,camel-quarkus-djl-deployment
com.thinkbiganalytics.kylo,kylo-feed-manager-service-api
org.apache.sshd,sshd-contrib
org.eclipse.jetty.http2,http2-hpack
com.navercorp.pinpoint,pinpoint-oracle-jdbc-driver-plugin
com.microsoft.azure,azure-toolkit-common-lib
org.eclipse.jkube,jkube-kit-common
org.apache.kylin,kylin-spark-engine
org.wso2.carbon.mediation,org.wso2.carbon.task.services
org.talend.esb.examples.ebook,ebook-importer
org.apache.karaf,org.apache.karaf.main
org.noear,nami
org.camunda.bpm.qa.upgrade,camunda-qa-upgrade-scenario-util
org.codice.ddf,geospatial
info.cukes,gherkin
com.codenvy.plugin,codenvy-plugin-bitbucket-configuration
org.glassfish.metro,webservices-extra-jdk-packages
org.apache.hop,hop-action-setvariables
org.glassfish,javax.el
com.github.dianbaer,threadwebsocket
org.apache.james,event-bus-in-vm
wsattacker.library,Intelligent_Denial_of_Service_Library
org.gephi,desktop-timeline
org.apache.camel,camel-script
org.apache.hbase.operator.tools,hbase-tools
org.webjars,bpmn-js
org.jitsi,jitsi-protocol-media
com.vaadin,flow-reusable-embedded-theme
com.badlogicgames.gdx,gdx-platform
com.cxytiandi,kitty-spring-cloud-starter-rocketmq-aliyun
eu.amidst,sparklink
com.pneumaticraft.commandhandler,CommandHandler
edu.northwestern.at,morphadorner
com.arakelian,java-jq
org.nd4j,samediff-import-api
com.sun.xml.ws,http
org.springframework.cloud,spring-cloud-gcp-starter-bus-pubsub
com.sparsity,sparkseejava
org.apache.maven.mercury,mercury-repo-virtual
org.apache.shenyu,shenyu-spring-boot-starter-plugin-websocket
org.teavm,teavm-jps-plugin
sun.plugin,plugin
com.squareup.okhttp3,logging-interceptor
org.apache.aries.spifly,org.apache.aries.spifly.static.bundle
com.github.ben-manes.caffeine,jcache
com.alibaba.otter,connector.rocketmq
co.paralleluniverse,quasar-core
com.github.tommyettinger,anim8-gdx
org.apache.cayenne,cayenne-server
com.walmartlabs.concord.plugins.basic,slack-tasks
org.eclipse.rdf4j,rdf4j-rio-trix
io.rsocket.broker,rsocket-broker-spring
org.apache.camel.quarkus,camel-quarkus-jackson-protobuf-deployment
io.hops,hadoop-cloud-storage
com.taobao.pamirs.schedule,tbschedule
org.apache.camel.quarkus,camel-quarkus-olingo4
javax,javaee-api
org.opencastproject,opencast-asset-manager-impl
com.hazelcast,hazelcast-3-connector-common
org.wikidata.wdtk,wdtk-rdf
de.tudarmstadt.ukp.dkpro.core,de.tudarmstadt.ukp.dkpro.core.corenlp-model-depparser-en-wsj-sd
org.xwiki.platform,xwiki-platform-extension-handler-xar
org.apache.commons,commons-io
com.qubole.rubix,rubix-core
com.google.code.gwt-dnd,gwt-dnd
com.webank.wedatasphere.linkis,linkis-hadoop-common
com.thinkbiganalytics.kylo,kylo-ui-app
de.tudarmstadt.ukp.dkpro.core,de.tudarmstadt.ukp.dkpro.core.stanfordnlp-model-parser-en-pcfg
com.blazegraph,dsi-utils
de.agilecoders.wicket,wicket-bootstrap-themes
org.apache.nifi,nifi-redis-extensions
org.apache.maven,maven-monitor
org.odpi.egeria,governance-engine-api
org.apache.hbase,hbase-metrics-api
com.sshtools,j2ssh-core
net.ripe.commons,commons-ip-math
io.lumify,lumify-gpw-audio-mp4-encoder
org.bytedeco,openblas-platform
org.apache.james,james-server-dnsservice-api
com.networknt,eventuate-client-jdbc-common
org.sonatype.nexus,nexus-guice-servlet
org.eclipse.hono,hono-service-base
org.knowm.xchange,xchange-coinone
org.apache.shenyu,shenyu-spring-boot-starter-plugin-uri
io.hawt,hawtio-plugin-mbean
org.netbeans.api,org-netbeans-modules-xml-jaxb-api
com.thinkbiganalytics.kylo,kylo-ui-api
org.apache.maven,maven-mercury
com.marswork,marswork-core
org.apache.jclouds.provider,aws-s3
org.apache.nifi,nifi-database-test-utils
com.google.cloud,spring-cloud-gcp-starter-security-firebase
cc.mrbird,febs-common-doc-starter
org.apache.shenyu,shenyu-register-client-http
de.tudarmstadt.ukp.dkpro.core,de.tudarmstadt.ukp.dkpro.core.corenlp-model-depparser-en-wsj-ud
org.apache.maven.its.shade.nrse,compile
org.eclipse.kapua,kapua-device-management-job-internal
io.quarkus.arc,arc-processor
org.camunda.spin,camunda-spin-core
com.alibaba.otter,node.etl
site.ycsb,maprjsondb-binding
com.sun.jsftemplating,jsftemplating
org.netbeans.api,org-netbeans-core-multiview
com.twelvemonkeys.swing,swing-core
org.openhab.addons.bundles,org.openhab.binding.resol
io.github.sevdokimov.logviewer,log-viewer-frontend
com.indeed,imhotep-archive
org.restlet.dev,org.restlet.ext.oauth
org.eclipse.jetty,jetty-keystore
org.glassfish.fighterfish,osgi-web-container
com.github.jelmerk,hnswlib-scala_2.11
cloud.piranha.extension,piranha-extension-security-jakarta
com.qcadoo.mes,mes-plugins-advanced-genealogy
org.gephi,desktop-preview
org.lwjgl.lwjgl,lwjgl_util
ddf.security.servlet,security-servlet-whoami
org.apache.james,james-server-webadmin-mailqueue
org.apache.hyracks,algebricks-core
tigase,tigase-xmltools
org.wicketTutorial,PageParametersEncoderExample
org.jobrunr,jobrunr
org.kohsuke.stapler,json-lib
io.thorntail,thorntail-gradle-tooling
fm.last,coverartarchive-api
com.hortonworks.streamline,streamline-cluster
com.github.rub-nds,WS-Attacker-Library_Signature_Wrapping
com.sun.xsom,xsom
org.eclipse.jetty,jetty-slf4j-impl
org.hyperic.hq.plugin,iis-plugin
org.springframework.osgi,spring-osgi-core
org.keycloak,keycloak-as7-subsystem
org.fluentlenium.it,testng-common
edu.berkeley.nlp,berkeleylm
org.kaazing,gateway.server.api
com.adobe.testing,s3mock-junit5
org.apache.curator,curator-x-discovery-server
org.jboss.narayana.xts,localjunit-crash-recovery-tests
org.pentaho.di.plugins,pdi-pur-plugin-core
net.kyori,adventure-platform-api
org.apache.camel,camel-azure-storage-blob
org.jclouds.provider,rackspace-cloudblockstorage-uk
io.thorntail,jaxrs-jsonp
com.walmartlabs.concord,concord-sdk
es.usc.citius.hipster,hipster-test
org.jboss.narayana.rts,lra-client
javax.persistence,javax.persistence-api
io.airlift,units
org.cognitor.cassandra,cassandra-migration
org.apache.metamodel,MetaModel-csv
io.thorntail,jaxrs-jsonb
ddf.catalog.core,catalog-core-standardframework
org.jboss.logging,jboss-logging
org.apache.streampipes,streampipes-measurement-units
org.powermock,powermock-api-mockito
org.apache.karaf.features,org.apache.karaf.features.core
org.keycloak,keycloak-client-api
com.github.TownyAdvanced,Towny
com.speedment.jpastreamer,autoclose-standard
org.apache.camel.quarkus,camel-quarkus-ldif
com.hierynomus,smbj
com.entwinemedia.common,functional
com.consol.citrus,citrus-junit5
net.sourceforge.owlapi,jfact
org.sonatype.goodies,goodies-httpfixture
com.thinkbiganalytics.kylo,kylo-commons-scala-api
org.xwiki.platform,xwiki-platform-extension-distribution
com.spotify,apollo-environment
com.fasterxml.jackson.core,jackson-module-jaxb-annotations
io.fundrequest,db
com.addthis.hydra,hydra-avro
com.jitlogic.zorka,zorka-core
leapmotion,leap
org.glassfish.hk2,guice-bridge
org.wso2.orbit.org.apache.commons,commons-collections4
io.thorntail,microprofile-fault-tolerance
org.apache.doris,doris-spark
