dependency1,dependency2,count,count1,count2,proportion1,proportion2,maxProportion
javax.mail:mail,log4j:log4j,50,119,361,0.42,0.14,0.42
javax.mail:mail,org.apache.commons:commons-lang3,60,119,742,0.5,0.08,0.5
javax.mail:mail,org.apache.maven:maven-plugin-api,18,119,193,0.15,0.09,0.15
org.apache.zookeeper:zookeeper,org.aspectj:aspectjweaver,29,152,128,0.19,0.23,0.23
ch.qos.logback:logback-classic,org.codehaus.jackson:jackson-mapper-asl,23,523,111,0.04,0.21,0.21
commons-configuration:commons-configuration,javax.servlet:servlet-api,20,114,196,0.18,0.1,0.18
com.fasterxml.jackson.core:jackson-databind,org.mockito:mockito-all,95,616,278,0.15,0.34,0.34
javax.validation:validation-api,org.springframework:spring-webmvc,34,138,190,0.25,0.18,0.25
javax.inject:javax.inject,org.assertj:assertj-core,34,126,329,0.27,0.1,0.27
org.hamcrest:hamcrest-core,org.springframework:spring-context,37,159,311,0.23,0.12,0.23
commons-beanutils:commons-beanutils,org.testng:testng,35,213,209,0.16,0.17,0.17
com.fasterxml.jackson.core:jackson-core,org.codehaus.jackson:jackson-mapper-asl,39,389,111,0.1,0.35,0.35
com.sun.xml.bind:jaxb-impl,org.springframework:spring-aop,23,113,133,0.2,0.17,0.2
com.google.protobuf:protobuf-java,org.freemarker:freemarker,16,191,106,0.08,0.15,0.15
com.google.inject:guice,io.springfox:springfox-swagger2,3,141,108,0.02,0.03,0.03
org.springframework:spring-jdbc,org.yaml:snakeyaml,22,152,196,0.14,0.11,0.14
com.googlecode.json-simple:json-simple,org.glassfish.jaxb:jaxb-runtime,9,119,108,0.08,0.08,0.08
com.googlecode.json-simple:json-simple,io.springfox:springfox-swagger2,4,119,108,0.03,0.04,0.04
org.apache.kafka:kafka-clients,org.ow2.asm:asm,12,117,132,0.1,0.09,0.1
org.junit.jupiter:junit-jupiter-engine,org.projectlombok:lombok,38,246,338,0.15,0.11,0.15
mysql:mysql-connector-java,org.apache.commons:commons-math3,33,406,140,0.08,0.24,0.24
com.google.code.gson:gson,org.hibernate:hibernate-validator,37,473,107,0.08,0.35,0.35
io.dropwizard.metrics:metrics-core,org.openjdk.jmh:jmh-generator-annprocess,25,113,138,0.22,0.18,0.22
org.apache.maven:maven-core,org.openjdk.jmh:jmh-generator-annprocess,12,136,138,0.09,0.09,0.09
org.bouncycastle:bcprov-jdk15on,org.slf4j:jcl-over-slf4j,34,141,220,0.24,0.15,0.24
javax.xml.bind:jaxb-api,org.springframework:spring-jdbc,28,217,152,0.13,0.18,0.18
org.slf4j:jcl-over-slf4j,org.springframework:spring-web,61,220,207,0.28,0.29,0.29
org.assertj:assertj-core,org.eclipse.jetty:jetty-webapp,18,329,121,0.05,0.15,0.15
commons-fileupload:commons-fileupload,org.apache.httpcomponents:httpmime,34,181,103,0.19,0.33,0.33
javax.servlet:servlet-api,org.yaml:snakeyaml,19,196,196,0.1,0.1,0.1
org.apache.poi:poi-ooxml,org.hamcrest:hamcrest-all,12,106,177,0.11,0.07,0.11
org.apache.commons:commons-collections4,org.openjdk.jmh:jmh-core,17,154,147,0.11,0.12,0.12
com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,org.springframework.boot:spring-boot-starter-web,7,102,108,0.07,0.06,0.07
com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,org.apache.logging.log4j:log4j-core,31,102,276,0.3,0.11,0.3
com.alibaba:fastjson,org.scala-lang:scala-library,13,253,131,0.05,0.1,0.1
javax.annotation:javax.annotation-api,org.projectlombok:lombok,28,185,338,0.15,0.08,0.15
javax.annotation:javax.annotation-api,org.junit.jupiter:junit-jupiter-params,19,185,114,0.1,0.17,0.17
org.aspectj:aspectjweaver,org.codehaus.jackson:jackson-mapper-asl,19,128,111,0.15,0.17,0.17
org.apache.commons:commons-lang3,org.postgresql:postgresql,96,742,177,0.13,0.54,0.54
org.eclipse.jetty:jetty-webapp,org.testng:testng,16,121,209,0.13,0.08,0.13
org.eclipse.jetty:jetty-webapp,org.springframework:spring-web,32,121,207,0.26,0.15,0.26
com.google.code.findbugs:jsr305,org.glassfish.jaxb:jaxb-runtime,25,230,108,0.11,0.23,0.23
commons-configuration:commons-configuration,org.slf4j:jul-to-slf4j,11,114,111,0.1,0.1,0.1
commons-httpclient:commons-httpclient,javax.mail:mail,27,105,119,0.26,0.23,0.26
