dependency,count
ca.uhn.hapi.fhir:hapi-fhir-jpaserver-elasticsearch,1
info.debatty:java-string-similarity,2
org.csa.rstb:rstb-op-polarimetric-tools-ui,1
org.odpi.egeria:inmemory-open-metadata-topic-connector,1
com.navercorp.pinpoint:pinpoint-commons-server,1
com.navercorp.pinpoint:pinpoint-cubrid-jdbc-driver-plugin,1
io.vertx:vertx-dropwizard-metrics,3
com.j256.simplemagic:simplemagic,1
org.deeplearning4j:rl4j-api,1
org.apache.ant:ant-junit,3
org.apache.hop:hop-action-createfolder,1
org.apache.xmlgraphics:batik-parser,7
org.apache.portals.applications:apa-webcontent2-reverse-proxy,1
com.fujieid:jap-ldap,1
de.tudarmstadt.ukp.dkpro.core:de.tudarmstadt.ukp.dkpro.core.ixa-model-lemmatizer-en-xlemma-perceptron-ud,1
de.tudarmstadt.ukp.dkpro.core:de.tudarmstadt.ukp.dkpro.core.stanfordnlp-model-ner-en-conll.4class.distsim.crf,1
org.dkpro.core:dkpro-core-udpipe-bin,1
org.apache.maven.surefire:common-junit4,2
com.founder.fix.fixflow:fixflow-webapp-managecenter,1
com.gemstone.gemfire:gemfire,1
org.apache.olingo:olingo-odata2-jpa-processor-ref,1
org.eobjects.metamodel:MetaModel-kafka,1
javax.security.enterprise:javax.security.enterprise-api,4
org.apache.uima:AlchemyAPIAnnotator,1
com.github.paulcwarren:spring-content-solr,1
org.apache.hyracks:hyracks-storage-am-rtree,1
io.logz.logback:logzio-logback-appender,1
com.github.scribejava:scribejava-core,5
info.picocli:picocli-shell-jline3,3
org.jupiter-rpc:jupiter-serialization-hessian,1
com.vladsch.flexmark:flexmark-ext-superscript,1
com.stormpath.sdk:stormpath-sdk-impl,1
io.fabric8:crd-generator-apt,1
org.noear:solon.schedule,1
io.quarkus:quarkus-awt-deployment,1
io.quarkus:quarkus-oidc-client-reactive-filter,1
io.quarkus:quarkus-quartz,1
io.smallrye.reactive:smallrye-reactive-converter-rxjava2,2
io.smallrye:smallrye-opentracing,1
org.wso2.carbon.identity.conditional.auth.functions:org.wso2.carbon.identity.conditional.auth.functions.choreo,1
org.wso2.carbon.identity.oauth.uma:org.wso2.carbon.identity.api.server.oauth.uma.permission,1
org.wso2.orbit.joda-time:joda-time,3
org.camunda.bpm.springboot:camunda-bpm-spring-boot-starter-test,2
org.radargun:plugin-jdg71,1
org.unidal.webres:WebResServer,1
org.restheart:restheart-polyglot,1
org.jzy3d:jzy3d-native-jogl-swing,1
org.apache.spark:spark-streaming-twitter_2.11,1
com.dslplatform:dsl-json-integration-tests-java8-external-models,1
org.dromara:hmily-serializer-msgpack,1
io.hops:hadoop-common,1
io.hops:hadoop-yarn-server-timelineservice-hbase-common,1
org.wildfly.swarm:jackson,1
dev.jorel:commandapi-1.16.5,1
io.mycat:config,1
org.optaplanner:optaplanner-benchmark,1
org.apache.wicket.experimental.wicket9:wicket-http2-tomcat,1
org.exbin.deltahex:deltahex-highlight-swing,1
top.tangyh.lamp:lamp-msg-entity,2
org.restcomm.commons:restcomm-statistics,1
com.bergerkiller.bukkit:BKCommonLib,2
com.cxytiandi:kitty-db-sharding-jdbc,1
org.apache.tomee:openejb-itests-app,1
org.apache.yoko:yoko-spec-corba,1
maven-test:t10-c,1
com.microsoft.bot:bot-integration-core,1
org.mengyun:tcc-transaction-sample-common,1
com.englishtown.vertx:vertx-guice,1
org.openecard.clients:richclient,1
org.openecard.ifd:ifd-core,1
com.linkedin.sensei:sensei-java-client,1
org.sonarsource.java:java-checks-testkit,1
cn.iocoder.boot:yudao-common,1
com.azure.resourcemanager:azure-resourcemanager-containerservice,1
com.github.siom79.japicmp:japicmp,2
org.springframework.cloud:spring-cloud-dataflow-autoconfigure,1
com.nisovin.shopkeepers:ShopkeepersAPI,1
org.eclipse.jetty.toolchain.setuid:jetty-setuid-java,1
org.apache.karaf.examples:karaf-blueprint-example-client,1
org.openhab.addons.bundles:org.openhab.binding.amazonechocontrol,1
org.openhab.addons.bundles:org.openhab.binding.bluetooth.govee,1
org.openhab.addons.bundles:org.openhab.binding.solaredge,1
ddf.platform:platform-session-invalidator-api,1
org.codice.thirdparty:lucene-core,1
io.fabric8:fabric8-maven-plugin-enricher-api,1
com.hortonworks.streamline:streamline-metrics,1
org.metawidget.modules.struts:metawidget-strutsannotation,1
br.net.fabiozumbi12.RedProtect:RedProtect-Core,2
de.themoep.utils:lang-bukkit,1
org.jvnet.hudson.main:hudson-war,1
org.apache.stratos:org.apache.stratos.integration.common,1
org.apache.shenyu:shenyu-plugin-websocket,1
org.thingsboard.common.transport:snmp,1
org.apache.cxf:cxf-rt-rs-service-description-openapi-v3,2
com.atilika.kuromoji:kuromoji-naist-jdic,1
org.openrdf.sesame:sesame-repository-http,1
io.github.openfeign:feign-jaxb,1
org.gephi:appearance-api,1
org.gephi:desktop-project,1
net.sf.okapi.filters:okapi-filter-regex,1
com.impetus.kundera.client:kundera-cassandra-pelops,1
org.forgerock.openam:openam-auth-windowsdesktopsso,1
com.baidu.hugegraph:hbase-shaded-endpoint,1
org.apache.mnemonic:mnemonic-pmdk-vmem-service,1
org.eclipse.rdf4j:rdf4j-rio-nquad,1
org.jboss.windup.exec:windup-exec,1
io.syndesis.connector:connector-google-calendar,1
com.vmware.admiral:admiral-host,1
com.querydsl:querydsl-kotlin-codegen,1
org.apache.syncope.ext.oidcc4ui:syncope-ext-oidcc4ui-client-common-ui,1
org.wicketstuff:wicketstuff-progressbar-spring,1
io.ha-jdbc:ha-jdbc-i18n-gettext,1
io.ebean:ebean-ddl-runner,1
org.kitesdk:kite-tools,1
jexcelapi:jxl,3
com.pig4cloud:pig-common-swagger,1
io.seata:seata-discovery-zk,1
com.github.haifengl:smile-data,1
io.selendroid:selendroid-client,1
org.cedj.geekseek:geekseek-domain-attachment,1
com.facebook.jcommon:config,1
org.joml:joml-primitives,1
net.lightbody.bmp:browsermob-proxy,1
com.esotericsoftware.kryonet:kryonet,1
gov.nsa.datawave.microservice:dictionary-api,1
org.graphfoundation.ongdb:ongdb-management,1
org.gridkit.lab:telecontrol-ssh,1
com.facebook.presto:presto-testing-server-launcher,1
de.adorsys.psd2:cms-payment-mapper,1
edu.illinois.cs.cogcomp:illinois-quantifier,1
net.anotheria:moskito-inspect-jersey,1
org.webjars.npm:wicked-good-xpath,1
org.joyqueue:joyqueue-broker-mqtt,1
org.joyqueue:joyqueue-security,1
org.fenixedu:tinTools,1
org.apache.tomcat.embed:tomcat-embed-jasper,27
org.jctools:jctools-core,15
org.littleshoot:littleproxy,12
org.apache.camel.quarkus:camel-quarkus-aws2-sts-deployment,1
